fake_code,real_code,bias_type,bias_params,injected_ra_arcsec,injected_dec_arcsec,recovered_mean_ra_arcsec,recovered_mean_dec_arcsec,recovered_rms_ra_arcsec,recovered_rms_dec_arcsec,n_obs,n_objects,recovery_error_ra,recovery_error_dec,detection_snr_ra,detection_snr_dec,detected_ra,detected_dec,scenario,target_station,applied_bias,is_target
AA06,W68,,{},0.0,0.0,-0.0518425686532137,-0.0070334624899448,0.3845400291851185,0.4038084012603425,4780,57,0.0518425686532137,0.0070334624899448,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
AA07,T09,,{},0.0,0.0,0.166645975369308,0.0500130984665717,0.345641436056434,0.266030502222429,76,9,-0.166645975369308,-0.0500130984665717,0.0,0.0,False,True,AA01_dcr,AA01,dcr,False
AA08,V00,,{},0.0,0.0,0.0607715311914479,0.0332976088353515,0.4970189721872053,0.3776858178511393,470,66,-0.0607715311914479,-0.0332976088353515,0.0,0.0,True,True,AA01_dcr,AA01,dcr,False
AA00,F51,,{},0.0,0.0,0.0304762619804138,0.0006071347359346,0.2875230986209416,0.1958604375338504,11792,100,-0.0304762619804138,-0.0006071347359346,0.0,0.0,True,True,AA02_clean,AA02,clean,False
AA01,G96,,{},0.0,0.0,0.0707927568657382,0.0064678743510407,0.3289590001423764,0.1977776303687236,14710,100,-0.0707927568657382,-0.0064678743510407,0.0,0.0,True,True,AA02_clean,AA02,clean,False
AA02,F52,,{},0.0,0.0,-0.0172687183224607,0.0005062424051965,0.286747983394066,0.1930986929718322,6019,100,0.0172687183224607,-0.0005062424051965,0.0,0.0,True,True,AA02_clean,AA02,clean,True
AA03,703,,{},0.0,0.0,0.1059675593767352,0.0137798793225596,0.4991568444196221,0.386123315041017,11201,92,-0.1059675593767352,-0.0137798793225596,0.0,0.0,False,True,AA02_clean,AA02,clean,False
AA04,691,,{},0.0,0.0,0.1361387576380109,0.0036924751723982,0.4561485481115754,0.3724214616555123,3214,97,-0.1361387576380109,-0.0036924751723982,0.0,0.0,False,True,AA02_clean,AA02,clean,False
AA05,W84,,{},0.0,0.0,0.0058858451106142,0.030193397515855,0.296547790539241,0.2483203768462128,354,31,-0.0058858451106142,-0.030193397515855,0.0,0.0,True,True,AA02_clean,AA02,clean,False
AA06,W68,,{},0.0,0.0,-0.0495595226420558,-0.006673935827525,0.3832577765138181,0.4038786297563346,4780,57,0.0495595226420558,0.006673935827525,0.0,0.0,True,True,AA02_clean,AA02,clean,False
AA07,T09,,{},0.0,0.0,0.1875860873770404,0.0353883686895411,0.3559690797642175,0.2589176481969038,76,9,-0.1875860873770404,-0.0353883686895411,0.0,0.0,False,True,AA02_clean,AA02,clean,False
